==================================================================
                        General Data File
==================================================================
Units:
length m mass kg
Number of elements and nodes:
3979 864

.................................................................

Node                X m        Y m        Z m
Coordinates:
513       5.4336       1.5464      -7.0028
514       1.0207       1.9793      -6.9429
515       5.7843       4.5834      -2.9199
516       7.4625       2.8501      -5.5472
517       2.8398       5.1977       -2.336
518       3.9659       3.2812      -3.8299
519        4.054       8.2851       -1.027
520       3.5742       4.3321      -2.8287
521       6.6667       6.6667      -1.9053
522          2.8          9.1     -0.95263
523       4.9593      0.94846      -8.8439
524        1.875        1.125      -9.0474
525            5         8.75     -0.95263
526       4.6431       1.5371      -6.4504
527      0.66563       7.4992      -1.7975
528       2.1655       5.7433      -2.0482
529            0            3      -5.5556
530       7.2625        4.469      -3.3737
531      0.67615       2.3238      -6.1007
532       2.7126        2.659      -4.5487
533            8            5      -3.3333
534            0            7      -2.2222
535       5.3884       7.3526      -1.2347
536       4.2322       6.8698      -1.2756
537       6.4967        2.068      -5.8758
538       5.0427       2.7164      -4.3157
539        6.352        1.657      -6.6121
540            0        5.576      -2.8406
541       1.0297       3.1298      -4.4479
542       6.4689       3.9493      -3.3462
543      0.61106       5.9506      -2.3099
544       6.1165       6.6055      -1.5597
545       1.7765       4.3147      -2.9294
546       6.9083       5.2807      -2.4783
547       4.2767      0.86617      -7.9954
548       1.1166       5.0055      -2.6201
549       3.7251       7.2677      -1.0318
550       3.8579       9.0645     -0.66309
551       2.1816       7.3167      -1.1922
552            2          8.5     -0.95263
553       5.0798       3.1565      -3.6599
554         2.25         0.75          -10
555            0       3.9315      -4.0142
556       3.0668       2.0449      -5.0317
557       3.7332       1.1287      -6.8253
558       2.0496       5.0008      -2.2489
559       5.6667       7.9167     -0.95263
560       5.1275       1.9092       -5.282
561       3.4847       6.1251      -1.4069
562       3.4538      0.58728      -9.3794
563       4.8745        7.914     -0.81989
564       5.2971       5.6477      -1.7017
565            6         0.75          -10
566            7            1          -10
567       4.3068       1.6401      -5.5073
568       7.7064       3.8257      -3.7931
569       3.7125       2.3671      -4.3255
570       3.8324        5.443      -1.6394
571       7.2319       1.9277      -6.1007
572        1.366       3.2807      -3.7738
573          5.5        0.625      -9.0474
574            7            1      -8.8889
575            5          0.5          -10
576       4.6458       4.3252      -2.3265
577       6.3477       5.4795      -1.8879
578        6.079       3.1098      -3.6718
579       2.2542      0.74581      -8.1915
580       4.3723       6.0393      -1.2715
581        4.387       3.5141      -2.9328
582       3.5128      0.73484      -7.4865
583       6.0435       2.0799      -4.9296
584       2.4221       8.0347     -0.68936
585       6.0628      0.76571      -8.1178
586       2.4391       6.2848      -1.2295
587        6.329       4.7218      -2.2569
588       5.6186       3.6053      -2.9433
589          4.5        0.375      -9.0474
590       7.4625       2.8501      -4.4528
591          1.2          7.9     -0.95263
592       1.4333       6.6208      -1.2764
593       2.2795       1.5239      -5.6007
594       2.1326      0.86738      -7.2955
595        1.182       5.8335      -1.6864
596       4.7229       5.0694      -1.6567
597       7.3525       5.8093      -1.8945
598       6.6453       2.5751      -4.3031
599       6.9098       3.2792      -3.5802
600            5          0.5      -8.0947
601            7            1      -7.7778
602      0.67361       2.3264           -5
603            4         0.25          -10
604       1.2936       1.7064      -5.5993
605       2.3826       4.3413      -2.1984
606       6.3333       7.0833     -0.95263
607            0            3      -4.4444
608       4.5181       1.7521      -4.7207
609       2.9043       2.7851      -3.4435
610       5.3114       6.3932     -0.94837
611       2.7707       7.1012       -0.682
612       5.8896      0.72241      -7.3363
613       3.6405       6.5387     -0.78045
614       3.0699        5.286      -1.3855
615       2.1181       3.1871      -3.1151
616      0.81604       4.0612      -2.7823
617      0.57455       6.5967      -1.3763
618       2.0072       2.5116      -3.8497
619       2.8814      0.73111      -6.7184
620       2.9696       1.2654      -5.4554
621       2.0769       1.8863      -4.6323
622            0        4.424      -2.8406
623       3.9898      0.24746      -8.1925
624       5.2655       2.5522      -3.5671
625       3.1154       3.8165      -2.2738
626       3.6814       4.4694      -1.7348
627            0       6.0152      -1.8064
628       2.9238       4.4412      -1.8158
629            4           10            0
630        4.422       2.0234      -3.9777
631       5.7704       2.2053       -3.978
632       2.0208      0.97918      -6.0997
633        7.231       1.9242           -5
634       3.5269       3.0105      -2.8149
635       6.3977       1.4899      -5.2388
636            3            0          -10
637          3.2          9.4            0
638            7            1      -6.6667
639       4.6667       9.1667            0
640       4.4492      0.36229      -7.1538
641       4.1381       2.5429      -3.2276
642            8            5      -2.2222
643            3            0      -8.8889
644       7.2268       4.3414      -2.2286
645       4.9189       1.1186      -5.1872
646       3.3716       8.3379            0
647       2.0635       5.1829      -1.2563
648       4.2804       4.4992      -1.4426
649       1.4054       4.2727      -1.9973
650       5.7861       4.9968      -1.3127
651        1.282       5.1248      -1.4805
652       4.3675       8.0871            0
653          2.4          8.8            0
654            0            7      -1.1111
655       5.8257      0.70643      -6.2069
656       0.7776       7.0063     -0.78506
657       1.7779        6.666     -0.60763
658       6.0594       5.7234     -0.95781
659       3.9879       3.4234      -2.1849
660       2.7844       1.8796      -3.9197
661       5.3333       8.3333            0
662       5.0565       5.3663     -0.94155
663            7         6.25     -0.95263
664       7.7224       3.8896      -2.6637
665       5.4063       1.4688      -4.4675
666       6.4802       3.1218       -2.775
667       4.1243       5.2061     -0.89978
668            3            0      -7.7778
669       3.4488       2.2074      -3.2891
670            0            5      -1.9053
671       5.3736       4.2235      -1.5572
672       3.7345       1.4902      -4.1503
673       2.9956       5.5225     -0.72249
674       2.5716       7.7379            0
675      0.67615       2.3238      -3.8993
676       1.2845       1.7155      -4.4093
677       5.6408       2.6017      -2.9338
